"","X.exp.predict_14....1...wtpmin.","X.exp.predict_15....1...wtpmin.","X.exp.predict_16....1...wtpmin."
"BTBC",8.82456652715433,7.89791032830577,8.08721252152661
"BTWC",-0.822919049592278,-0.226465693101107,-0.287907628432727
"WTBC",4.26413070404016,3.61321000481839,3.74047997646689
"WTWC",-2.48398119053622,-2.06796446878688,-2.11307257376827
