"","add_non_anon","add_sos","add_ind","add_gov","add_public","gfw_add_anon","gfw_add_no_sos","gfw_add_fisher","gfw_add_ind","gfw_add_gov"
"lin_pred",-3.05997427090614,49.5658567958649,-26.303667044886,0.533956326479729,-22.5913610071439,2.91352872731582,-51.4751941340488,2.91352872731582,-7.38058273091796,21.1295679003887
"predict",-2.99031160590809,50.5688302126171,-25.2350705896929,0.523306676705265,-21.7370255393764,2.99031160590808,-50.5688302126171,2.99031160590808,-7.51146984530983,22.0163893899512
"formula",-2.42011761209859,20.5592052278724,-34.7009745044436,0.397677378989414,-26.93022945321,1.0140911900835,-44.3658393704727,1.0140911900835,-2.89563643690312,6.13037545136295
