"package","sos","info","own","int_tech_wtp"
1,0,1,"2",2.61341910068941
2,1,1,"3",3.27900021002154
3,0,1,"1",2.6792882311639
4,1,0,"4",4.28261138457649
5,0,0,"4",2.67740611336667
6,0,0,"3",2.10898424904468
7,1,0,"1",4.71968281260669
8,0,1,"4",2.2422168031337
9,1,0,"3",3.71418952025451
10,0,0,"2",3.04860841092238
11,1,1,"4",3.84742207434353
12,1,1,"1",4.28449350237373
13,1,1,"2",4.21862437189924
14,1,0,"2",4.65381368213221
15,0,0,"1",3.11447754139687
16,0,1,"3",1.67379493881172
