"","add_non_anon","add_sos","add_ind","add_gov","add_public","gfw_add_anon","gfw_add_no_sos","gfw_add_fisher","gfw_add_ind","gfw_add_gov"
"lin_pred",-3.05997427090611,49.5658567958649,-26.303667044886,0.53395632647974,-22.5913610071439,2.9135287273158,-51.4751941340488,2.9135287273158,-7.38058273091798,21.1295679003887
"predict",-2.99031160590805,50.5688302126171,-25.2350705896929,0.523306676705282,-21.7370255393764,2.99031160590805,-50.5688302126171,2.99031160590805,-7.51146984530984,22.0163893899512
"formula",-2.42011761209859,20.5592052278724,-34.7009745044437,0.397677378989414,-26.93022945321,1.01409119008349,-44.3658393704727,1.01409119008349,-2.89563643690313,6.13037545136294
