"survey_id","STR","RES","ASC","package","sos","info","own","noalt"
1001,1001,0,1,3,"1","1","1",3
1001,1001,0,1,4,"2","2","4",3
1001,1001,1,0,0,"0","0","0",3
1002,2001,0,1,14,"2","2","2",3
1002,2001,1,1,12,"2","1","1",3
1002,2001,0,0,0,"0","0","0",3
1003,3001,0,1,10,"1","2","2",3
1003,3001,1,1,14,"2","2","2",3
1003,3001,0,0,0,"0","0","0",3
1004,4001,1,1,5,"1","2","4",3
1004,4001,0,1,11,"2","1","4",3
1004,4001,0,0,0,"0","0","0",3
1005,5001,1,1,11,"2","1","4",3
1005,5001,0,1,5,"1","2","4",3
1005,5001,0,0,0,"0","0","0",3
1006,6001,0,1,1,"1","1","2",3
1006,6001,0,1,2,"2","1","3",3
1006,6001,1,0,0,"0","0","0",3
1007,7001,1,1,2,"2","1","3",3
1007,7001,0,1,8,"1","1","4",3
1007,7001,0,0,0,"0","0","0",3
1008,8001,0,1,11,"2","1","4",3
1008,8001,0,1,5,"1","2","4",3
1008,8001,1,0,0,"0","0","0",3
1009,9001,0,1,6,"1","2","3",3
1009,9001,1,1,7,"2","2","1",3
1009,9001,0,0,0,"0","0","0",3
1010,10001,0,1,16,"1","1","3",3
1010,10001,1,1,13,"2","1","2",3
1010,10001,0,0,0,"0","0","0",3
1011,11001,0,1,4,"2","2","4",3
1011,11001,0,1,15,"1","2","1",3
1011,11001,1,0,0,"0","0","0",3
1012,12001,0,1,10,"1","2","2",3
1012,12001,1,1,14,"2","2","2",3
1012,12001,0,0,0,"0","0","0",3
1013,13001,0,1,3,"1","1","1",3
1013,13001,1,1,4,"2","2","4",3
1013,13001,0,0,0,"0","0","0",3
1014,14001,0,1,6,"1","2","3",3
1014,14001,1,1,7,"2","2","1",3
1014,14001,0,0,0,"0","0","0",3
1015,15001,1,1,7,"2","2","1",3
1015,15001,0,1,16,"1","1","3",3
1015,15001,0,0,0,"0","0","0",3
1016,16001,0,1,8,"1","1","4",3
1016,16001,1,1,3,"1","1","1",3
1016,16001,0,0,0,"0","0","0",3
1017,17001,1,1,9,"2","2","3",3
1017,17001,0,1,6,"1","2","3",3
1017,17001,0,0,0,"0","0","0",3
1018,18001,1,1,7,"2","2","1",3
1018,18001,0,1,16,"1","1","3",3
1018,18001,0,0,0,"0","0","0",3
2001,19001,0,1,10,"1","2","2",3
2001,19001,0,1,14,"2","2","2",3
2001,19001,1,0,0,"0","0","0",3
2002,20001,0,1,7,"2","2","1",3
2002,20001,0,1,16,"1","1","3",3
2002,20001,1,0,0,"0","0","0",3
2003,21001,0,1,8,"1","1","4",3
2003,21001,0,1,3,"1","1","1",3
2003,21001,1,0,0,"0","0","0",3
2004,22001,0,1,9,"2","2","3",3
2004,22001,0,1,6,"1","2","3",3
2004,22001,1,0,0,"0","0","0",3
3001,23001,0,1,4,"2","2","4",3
3001,23001,1,1,15,"1","2","1",3
3001,23001,0,0,0,"0","0","0",3
3002,24001,0,1,5,"1","2","4",3
3002,24001,0,1,11,"2","1","4",3
3002,24001,1,0,0,"0","0","0",3
3003,25001,0,1,10,"1","2","2",3
3003,25001,0,1,14,"2","2","2",3
3003,25001,1,0,0,"0","0","0",3
3004,26001,0,1,7,"2","2","1",3
3004,26001,0,1,16,"1","1","3",3
3004,26001,1,0,0,"0","0","0",3
3005,27001,1,1,7,"2","2","1",3
3005,27001,0,1,16,"1","1","3",3
3005,27001,0,0,0,"0","0","0",3
3006,28001,0,1,11,"2","1","4",3
3006,28001,0,1,5,"1","2","4",3
3006,28001,1,0,0,"0","0","0",3
3007,29001,0,1,8,"1","1","4",3
3007,29001,1,1,3,"1","1","1",3
3007,29001,0,0,0,"0","0","0",3
3008,30001,1,1,9,"2","2","3",3
3008,30001,0,1,6,"1","2","3",3
3008,30001,0,0,0,"0","0","0",3
3009,31001,0,1,13,"2","1","2",3
3009,31001,1,1,9,"2","2","3",3
3009,31001,0,0,0,"0","0","0",3
3010,32001,0,1,10,"1","2","2",3
3010,32001,1,1,14,"2","2","2",3
3010,32001,0,0,0,"0","0","0",3
3011,33001,0,1,10,"1","2","2",3
3011,33001,1,1,14,"2","2","2",3
3011,33001,0,0,0,"0","0","0",3
3012,34001,1,1,11,"2","1","4",3
3012,34001,0,1,5,"1","2","4",3
3012,34001,0,0,0,"0","0","0",3
3013,35001,1,1,11,"2","1","4",3
3013,35001,0,1,5,"1","2","4",3
3013,35001,0,0,0,"0","0","0",3
3014,36001,0,1,14,"2","2","2",3
3014,36001,0,1,12,"2","1","1",3
3014,36001,1,0,0,"0","0","0",3
3015,37001,0,1,14,"2","2","2",3
3015,37001,1,1,12,"2","1","1",3
3015,37001,0,0,0,"0","0","0",3
3016,38001,1,1,9,"2","2","3",3
3016,38001,0,1,6,"1","2","3",3
