"STR","RES","ASC","package","sos","info","own"
1001,1,1,12,"2","1","1"
2001,1,1,14,"2","2","2"
3001,0,1,11,"2","1","4"
4001,0,1,5,"1","2","4"
5001,0,1,8,"1","1","4"
6001,1,1,7,"2","2","1"
7001,1,1,13,"2","1","2"
8001,1,1,14,"2","2","2"
9001,1,1,4,"2","2","4"
10001,1,1,7,"2","2","1"
11001,0,1,16,"1","1","3"
12001,1,1,3,"1","1","1"
13001,0,1,6,"1","2","3"
14001,0,1,16,"1","1","3"
15001,1,1,15,"1","2","1"
16001,0,1,16,"1","1","3"
17001,1,1,3,"1","1","1"
18001,0,1,6,"1","2","3"
19001,1,1,9,"2","2","3"
20001,1,1,14,"2","2","2"
21001,1,1,14,"2","2","2"
22001,0,1,5,"1","2","4"
23001,0,1,5,"1","2","4"
24001,1,1,12,"2","1","1"
25001,0,1,6,"1","2","3"
26001,0,1,8,"1","1","4"
27001,1,1,4,"2","2","4"
28001,0,1,1,"1","1","2"
29001,0,1,10,"1","2","2"
30001,1,1,2,"2","1","3"
31001,1,1,13,"2","1","2"
32001,0,1,10,"1","2","2"
33001,0,1,1,"1","1","2"
34001,0,1,13,"2","1","2"
35001,1,1,2,"2","1","3"
36001,1,1,9,"2","2","3"
37001,0,1,1,"1","1","2"
38001,1,1,2,"2","1","3"
39001,1,1,4,"2","2","4"
40001,1,1,11,"2","1","4"
41001,0,1,6,"1","2","3"
42001,1,1,14,"2","2","2"
43001,0,1,5,"1","2","4"
44001,0,1,1,"1","1","2"
45001,1,1,9,"2","2","3"
46001,1,1,7,"2","2","1"
47001,0,1,15,"1","2","1"
48001,1,1,12,"2","1","1"
49001,1,1,3,"1","1","1"
50001,1,1,7,"2","2","1"
51001,0,1,8,"1","1","4"
52001,0,1,10,"1","2","2"
53001,1,1,13,"2","1","2"
54001,0,1,13,"2","1","2"
55001,0,1,8,"1","1","4"
56001,1,1,4,"2","2","4"
57001,0,1,15,"1","2","1"
58001,1,1,11,"2","1","4"
59001,1,1,7,"2","2","1"
60001,0,1,16,"1","1","3"
61001,1,1,3,"1","1","1"
62001,0,1,6,"1","2","3"
63001,1,1,14,"2","2","2"
64001,0,1,5,"1","2","4"
65001,0,1,1,"1","1","2"
66001,1,1,9,"2","2","3"
67001,1,1,12,"2","1","1"
68001,0,1,10,"1","2","2"
69001,0,1,13,"2","1","2"
70001,1,1,2,"2","1","3"
71001,1,1,4,"2","2","4"
72001,1,1,11,"2","1","4"
73001,0,1,7,"2","2","1"
74001,1,1,9,"2","2","3"
75001,0,1,10,"1","2","2"
76001,0,1,16,"1","1","3"
77001,1,1,7,"2","2","1"
78001,0,1,3,"1","1","1"
79001,1,1,11,"2","1","4"
80001,0,1,3,"1","1","1"
81001,0,1,6,"1","2","3"
82001,0,1,15,"1","2","1"
83001,0,1,8,"1","1","4"
84001,1,1,13,"2","1","2"
