"survey_id","STR","RES","ASC","package","sos","info","own","noalt"
1001,1001,1,1,3,"1","1","1",2
1001,1001,0,1,4,"2","2","4",2
1002,2001,0,1,14,"2","2","2",2
1002,2001,1,1,12,"2","1","1",2
1003,3001,0,1,10,"1","2","2",2
1003,3001,1,1,14,"2","2","2",2
1004,4001,1,1,5,"1","2","4",2
1004,4001,0,1,11,"2","1","4",2
1005,5001,1,1,11,"2","1","4",2
1005,5001,0,1,5,"1","2","4",2
1006,6001,0,1,1,"1","1","2",2
1006,6001,1,1,2,"2","1","3",2
1007,7001,1,1,2,"2","1","3",2
1007,7001,0,1,8,"1","1","4",2
1008,8001,1,1,11,"2","1","4",2
1008,8001,0,1,5,"1","2","4",2
1009,9001,0,1,6,"1","2","3",2
1009,9001,1,1,7,"2","2","1",2
1010,10001,0,1,16,"1","1","3",2
1010,10001,1,1,13,"2","1","2",2
1011,11001,1,1,4,"2","2","4",2
1011,11001,0,1,15,"1","2","1",2
1012,12001,0,1,10,"1","2","2",2
1012,12001,1,1,14,"2","2","2",2
1013,13001,0,1,3,"1","1","1",2
1013,13001,1,1,4,"2","2","4",2
1014,14001,0,1,6,"1","2","3",2
1014,14001,1,1,7,"2","2","1",2
1015,15001,1,1,7,"2","2","1",2
1015,15001,0,1,16,"1","1","3",2
1016,16001,0,1,8,"1","1","4",2
1016,16001,1,1,3,"1","1","1",2
1017,17001,1,1,9,"2","2","3",2
1017,17001,0,1,6,"1","2","3",2
1018,18001,1,1,7,"2","2","1",2
1018,18001,0,1,16,"1","1","3",2
2001,19001,0,1,10,"1","2","2",2
2001,19001,1,1,14,"2","2","2",2
2002,20001,1,1,7,"2","2","1",2
2002,20001,0,1,16,"1","1","3",2
2003,21001,0,1,8,"1","1","4",2
2003,21001,1,1,3,"1","1","1",2
2004,22001,1,1,9,"2","2","3",2
2004,22001,0,1,6,"1","2","3",2
3001,23001,0,1,4,"2","2","4",2
3001,23001,1,1,15,"1","2","1",2
3002,24001,1,1,5,"1","2","4",2
3002,24001,0,1,11,"2","1","4",2
3003,25001,1,1,10,"1","2","2",2
3003,25001,0,1,14,"2","2","2",2
3004,26001,0,1,7,"2","2","1",2
3004,26001,1,1,16,"1","1","3",2
3005,27001,1,1,7,"2","2","1",2
3005,27001,0,1,16,"1","1","3",2
3006,28001,0,1,11,"2","1","4",2
3006,28001,1,1,5,"1","2","4",2
3007,29001,0,1,8,"1","1","4",2
3007,29001,1,1,3,"1","1","1",2
3008,30001,1,1,9,"2","2","3",2
3008,30001,0,1,6,"1","2","3",2
3009,31001,0,1,13,"2","1","2",2
3009,31001,1,1,9,"2","2","3",2
3010,32001,0,1,10,"1","2","2",2
3010,32001,1,1,14,"2","2","2",2
3011,33001,0,1,10,"1","2","2",2
3011,33001,1,1,14,"2","2","2",2
3012,34001,1,1,11,"2","1","4",2
3012,34001,0,1,5,"1","2","4",2
3013,35001,1,1,11,"2","1","4",2
3013,35001,0,1,5,"1","2","4",2
3014,36001,0,1,14,"2","2","2",2
3014,36001,1,1,12,"2","1","1",2
3015,37001,0,1,14,"2","2","2",2
3015,37001,1,1,12,"2","1","1",2
3016,38001,1,1,9,"2","2","3",2
3016,38001,0,1,6,"1","2","3",2
3017,39001,1,1,2,"2","1","3",2
3017,39001,0,1,8,"1","1","4",2
3018,40001,0,1,3,"1","1","1",2
3018,40001,1,1,4,"2","2","4",2
3019,41001,1,1,12,"2","1","1",2
3019,41001,0,1,1,"1","1","2",2
3020,42001,1,1,15,"1","2","1",2
3020,42001,0,1,10,"1","2","2",2
3021,43001,0,1,13,"2","1","2",2
3021,43001,1,1,9,"2","2","3",2
3022,44001,0,1,1,"1","1","2",2
3022,44001,1,1,2,"2","1","3",2
3023,45001,0,1,16,"1","1","3",2
3023,45001,1,1,13,"2","1","2",2
3024,46001,1,1,12,"2","1","1",2
3024,46001,0,1,1,"1","1","2",2
3025,47001,1,1,15,"1","2","1",2
3025,47001,0,1,10,"1","2","2",2
3026,48001,1,1,15,"1","2","1",2
3026,48001,0,1,10,"1","2","2",2
3027,49001,1,1,12,"2","1","1",2
3027,49001,0,1,1,"1","1","2",2
3028,50001,1,1,12,"2","1","1",2
3028,50001,0,1,1,"1","1","2",2
3029,51001,1,1,16,"1","1","3",2
3029,51001,0,1,13,"2","1","2",2
3030,52001,0,1,1,"1","1","2",2
3030,52001,1,1,2,"2","1","3",2
3031,53001,0,1,13,"2","1","2",2
3031,53001,1,1,9,"2","2","3",2
3032,54001,1,1,12,"2","1","1",2
3032,54001,0,1,1,"1","1","2",2
