"survey_id","country","package","wtp","sos","info","own","own.fisher","own.industry","own.gov","own.public","STR","RES","ASC","noalt"
3009,NA,13,0,"1","0","2","0","1","0","0",31001,0,1,3
3009,NA,0,0,"0","0","0","0","0","0","0",31002,0,0,3
3010,"IND",14,5,"1","1","2","0","1","0","0",32001,1,1,3
3010,NA,10,0,"0","1","2","0","1","0","0",32001,0,1,3
3010,NA,0,0,"0","0","0","0","0","0","0",32002,0,0,3
3011,"IND",14,10,"1","1","2","0","1","0","0",33001,1,1,3
3011,NA,10,0,"0","1","2","0","1","0","0",33001,0,1,3
3011,NA,0,0,"0","0","0","0","0","0","0",33002,0,0,3
3012,"IND",11,0,"1","0","4","0","0","0","1",34001,1,1,3
3012,NA,5,0,"0","1","4","0","0","0","1",34001,0,1,3
3012,NA,0,0,"0","0","0","0","0","0","0",34002,0,0,3
3013,"IND",11,5,"1","0","4","0","0","0","1",35001,1,1,3
3013,NA,5,0,"0","1","4","0","0","0","1",35001,0,1,3
3013,NA,0,0,"0","0","0","0","0","0","0",35002,0,0,3
3014,"IND",0,0,"0","0","0","0","0","0","0",36002,1,0,3
3014,NA,14,0,"1","1","2","0","1","0","0",36001,0,1,3
3014,NA,12,0,"1","0","1","1","0","0","0",36001,0,1,3
3015,"IND",12,0,"1","0","1","1","0","0","0",37001,1,1,3
3015,NA,14,0,"1","1","2","0","1","0","0",37001,0,1,3
3015,NA,0,0,"0","0","0","0","0","0","0",37002,0,0,3
3016,"IND",9,0,"1","1","3","0","0","1","0",38001,1,1,3
3016,NA,6,0,"0","1","3","0","0","1","0",38001,0,1,3
3016,NA,0,0,"0","0","0","0","0","0","0",38002,0,0,3
3017,"IND",2,0,"1","0","3","0","0","1","0",39001,1,1,3
3017,NA,8,0,"0","0","4","0","0","0","1",39001,0,1,3
3017,NA,0,0,"0","0","0","0","0","0","0",39002,0,0,3
3018,"IND",4,0,"1","1","4","0","0","0","1",40001,1,1,3
3018,NA,3,0,"0","0","1","1","0","0","0",40001,0,1,3
3018,NA,0,0,"0","0","0","0","0","0","0",40002,0,0,3
3019,"IND",12,5,"1","0","1","1","0","0","0",41001,1,1,3
3019,NA,1,0,"0","0","2","0","1","0","0",41001,0,1,3
3019,NA,0,0,"0","0","0","0","0","0","0",41002,0,0,3
3020,"IND",15,5,"0","1","1","1","0","0","0",42001,1,1,3
3020,NA,10,0,"0","1","2","0","1","0","0",42001,0,1,3
3020,NA,0,0,"0","0","0","0","0","0","0",42002,0,0,3
3021,"IND",0,0,"0","0","0","0","0","0","0",43002,1,0,3
3021,NA,13,0,"1","0","2","0","1","0","0",43001,0,1,3
3021,NA,9,0,"1","1","3","0","0","1","0",43001,0,1,3
3022,"IND",2,5,"1","0","3","0","0","1","0",44001,1,1,3
3022,NA,1,0,"0","0","2","0","1","0","0",44001,0,1,3
3022,NA,0,0,"0","0","0","0","0","0","0",44002,0,0,3
3023,"IND",13,0,"1","0","2","0","1","0","0",45001,1,1,3
3023,NA,16,0,"0","0","3","0","0","1","0",45001,0,1,3
3023,NA,0,0,"0","0","0","0","0","0","0",45002,0,0,3
3024,"IND",0,0,"0","0","0","0","0","0","0",46002,1,0,3
3024,NA,12,0,"1","0","1","1","0","0","0",46001,0,1,3
3024,NA,1,0,"0","0","2","0","1","0","0",46001,0,1,3
3025,"IND",0,0,"0","0","0","0","0","0","0",47002,1,0,3
3025,NA,15,0,"0","1","1","1","0","0","0",47001,0,1,3
3025,NA,10,0,"0","1","2","0","1","0","0",47001,0,1,3
3026,"IND",15,10,"0","1","1","1","0","0","0",48001,1,1,3
3026,NA,10,0,"0","1","2","0","1","0","0",48001,0,1,3
3026,NA,0,0,"0","0","0","0","0","0","0",48002,0,0,3
3027,"IND",12,10,"1","0","1","1","0","0","0",49001,1,1,3
3027,NA,1,0,"0","0","2","0","1","0","0",49001,0,1,3
3027,NA,0,0,"0","0","0","0","0","0","0",49002,0,0,3
3028,"IND",0,0,"0","0","0","0","0","0","0",50002,1,0,3
3028,NA,12,0,"1","0","1","1","0","0","0",50001,0,1,3
