"X1","survey_id","survey_version","country","choice","wtp","package","sos","info","own"
108,1018,7,"IND",1,7.12,7,1,0,1
109,3001,4,"IND",1,3.56,20,0,0,1
110,3005,7,"IND",1,2.14,7,1,0,1
111,3007,8,"IND",1,3.56,24,0,1,1
112,3008,9,"IND",1,0,9,1,0,3
113,3009,13,"IND",1,0,29,1,0,3
114,3010,10,"IND",1,2.14,26,1,0,2
115,3011,10,"IND",1,3.56,26,1,0,2
116,3012,11,"IND",1,0,11,1,1,4
117,3013,11,"IND",1,2.14,11,1,1,4
118,3015,14,"IND",1,0,30,1,1,1
119,3016,9,"IND",1,0,9,1,0,3
120,3017,2,"IND",1,0,2,1,1,3
121,3018,3,"IND",1,0,19,1,0,4
122,3019,12,"IND",1,2.14,12,1,1,1
123,3020,15,"IND",1,2.14,15,0,0,1
124,3022,1,"IND",1,2.14,17,1,1,3
125,3023,16,"IND",1,0,32,1,1,2
126,3026,15,"IND",1,3.56,15,0,0,1
127,3027,12,"IND",1,3.56,12,1,1,1
128,3029,16,"IND",1,3.56,16,0,1,3
129,3030,1,"IND",1,3.56,17,1,1,3
130,3031,13,"IND",1,3.56,29,1,0,3
131,3032,12,"IND",1,5.35,12,1,1,1
132,3033,1,"IND",1,3.56,17,1,1,3
133,3036,3,"IND",1,3.56,19,1,0,4
134,3037,5,"IND",1,3.56,21,1,1,4
135,3041,9,"IND",1,2.14,9,1,0,3
136,3042,10,"IND",1,3.56,26,1,0,2
137,3043,11,"IND",1,2.14,11,1,1,4
138,3044,12,"IND",1,2.14,12,1,1,1
139,3045,13,"IND",1,2.14,29,1,0,3
140,3048,6,"IND",1,2.14,22,1,0,1
141,3049,4,"IND",1,0,4,1,0,4
142,3050,14,"IND",1,2.14,30,1,1,1
143,3052,8,"IND",1,0,24,0,1,1
144,3053,6,"IND",1,0,22,1,0,1
145,3054,2,"IND",1,0,2,1,1,3
146,3056,15,"IND",1,0,15,0,0,1
147,3057,16,"IND",1,0,32,1,1,2
148,3058,16,"IND",1,2.14,16,0,1,3
149,4002,2,"IND",1,0,2,1,1,3
150,4003,3,"IND",1,3.56,19,1,0,4
151,4004,4,"IND",1,0,4,1,0,4
152,4005,5,"IND",1,2.14,21,1,1,4
153,4006,6,"IND",1,2.14,22,1,0,1
154,4007,7,"IND",1,2.14,7,1,0,1
155,4008,8,"IND",1,2.14,24,0,1,1
156,4009,9,"IND",1,2.14,9,1,0,3
157,4010,10,"IND",1,2.14,26,1,0,2
158,4011,11,"IND",1,2.14,11,1,1,4
159,4012,12,"IND",1,3.56,12,1,1,1
160,4013,13,"IND",1,3.56,29,1,0,3
161,4014,14,"IND",1,3.56,30,1,1,1
162,4015,15,"IND",1,3.56,15,0,0,1
163,4016,16,"IND",1,3.56,16,0,1,3
164,4017,1,"IND",1,0,17,1,1,3
165,4019,3,"IND",1,2.14,19,1,0,4
166,4020,5,"IND",1,0,21,1,1,4
167,4021,6,"IND",1,2.14,6,0,0,3
168,4022,13,"IND",1,0,29,1,0,3
169,4023,15,"IND",1,0,15,0,0,1
170,7001,13,"IND",1,2.14,13,1,1,2
171,7002,13,"IND",1,2.14,29,1,0,3
172,7003,11,"IND",1,5.35,11,1,1,4
173,7004,11,"IND",1,5.35,11,1,1,4
174,7005,15,"IND",1,7.12,15,0,0,1
175,7006,9,"IND",1,0,9,1,0,3
176,7007,9,"IND",1,3.56,9,1,0,3
177,7009,8,"IND",1,2.14,24,0,1,1
178,7010,8,"IND",1,7.12,24,0,1,1
179,7011,4,"IND",1,7.12,4,1,0,4
180,7012,4,"IND",1,3.56,4,1,0,4
181,7013,5,"IND",1,0,21,1,1,4
182,7014,14,"IND",1,2.14,30,1,1,1
183,8001,15,"IND",1,5.35,31,0,0,2
184,8002,14,"IND",1,3.56,30,1,1,1
185,8003,16,"IND",1,7.12,32,1,1,2
186,8004,13,"IND",1,7.12,29,1,0,3
187,8005,11,"IND",1,2.14,11,1,1,4
188,8006,9,"IND",1,3.56,9,1,0,3
