"STR","RES","ASC","sos","info","own"
107001,1,1,"1","1","4"
107001,0,1,"1","1","1"
108001,0,1,"1","2","4"
108001,1,1,"2","1","4"
109001,1,1,"1","1","4"
109001,0,1,"1","1","1"
110001,1,1,"2","2","3"
110001,0,1,"1","2","3"
111001,1,1,"2","2","4"
111001,0,1,"1","2","1"
112001,1,1,"2","1","3"
112001,0,1,"1","1","4"
113001,0,1,"1","1","3"
113001,1,1,"2","1","2"
114001,1,1,"2","1","4"
114001,0,1,"1","2","4"
115001,1,1,"1","2","1"
115001,0,1,"1","2","2"
116001,1,1,"2","1","2"
116001,0,1,"2","2","3"
117001,0,1,"2","2","2"
117001,1,1,"2","1","1"
118001,1,1,"2","1","3"
118001,0,1,"1","1","4"
119001,0,1,"1","2","2"
119001,1,1,"2","2","2"
120001,1,1,"1","1","1"
120001,0,1,"2","2","4"
121001,0,1,"1","2","3"
121001,1,1,"2","2","1"
122001,1,1,"2","2","1"
122001,0,1,"1","1","3"
123001,1,1,"2","1","3"
123001,0,1,"1","1","4"
124001,0,1,"1","1","3"
124001,1,1,"2","1","2"
125001,1,1,"2","2","2"
125001,0,1,"2","1","1"
126001,0,1,"1","1","1"
126001,1,1,"2","2","4"
127001,1,1,"2","2","2"
127001,0,1,"2","1","1"
128001,0,1,"2","1","2"
128001,1,1,"2","2","3"
129001,0,1,"1","1","2"
129001,1,1,"2","1","3"
130001,1,1,"2","2","4"
130001,0,1,"1","2","1"
131001,0,1,"1","2","4"
131001,1,1,"2","1","4"
132001,1,1,"2","2","3"
132001,0,1,"1","2","3"
133001,1,1,"2","1","4"
133001,0,1,"1","2","4"
134001,1,1,"1","2","1"
134001,0,1,"1","2","2"
135001,1,1,"2","1","1"
135001,0,1,"1","1","2"
136001,1,1,"2","1","1"
136001,0,1,"1","1","2"
137001,0,1,"1","1","4"
137001,1,1,"1","1","1"
138001,0,1,"1","1","2"
138001,1,1,"2","1","3"
139001,0,1,"1","2","3"
139001,1,1,"2","2","1"
140001,1,1,"2","2","1"
140001,0,1,"1","1","3"
141001,0,1,"1","1","3"
141001,1,1,"2","1","2"
142001,1,1,"2","1","4"
142001,0,1,"1","2","4"
143001,1,1,"2","2","1"
143001,0,1,"1","1","3"
144001,1,1,"1","2","1"
144001,0,1,"1","2","2"
145001,0,1,"1","2","4"
145001,1,1,"2","1","4"
146001,1,1,"2","1","2"
146001,0,1,"2","2","3"
147001,0,1,"2","1","2"
147001,1,1,"2","2","3"
148001,1,1,"2","2","4"
148001,0,1,"1","2","1"
149001,0,1,"1","2","2"
149001,1,1,"2","2","2"
150001,1,1,"2","1","3"
150001,0,1,"1","1","4"
151001,0,1,"1","1","2"
151001,1,1,"2","1","3"
152001,0,1,"1","1","1"
152001,1,1,"2","2","4"
153001,1,1,"2","2","3"
153001,0,1,"1","2","3"
154001,0,1,"1","2","2"
154001,1,1,"2","2","2"
155001,1,1,"2","1","1"
155001,0,1,"1","1","2"
156001,0,1,"1","1","2"
156001,1,1,"2","1","3"
157001,0,1,"1","1","1"
157001,1,1,"2","2","4"
158001,1,1,"2","2","3"
158001,0,1,"1","2","3"
159001,0,1,"1","2","2"
159001,1,1,"2","2","2"
160001,1,1,"2","1","1"
160001,0,1,"1","1","2"
161001,0,1,"1","1","2"
161001,1,1,"2","1","3"
162001,0,1,"1","2","3"
162001,1,1,"2","2","1"
163001,0,1,"2","1","4"
163001,1,1,"1","2","4"
164001,0,1,"1","2","4"
164001,1,1,"2","1","4"
165001,0,1,"2","2","2"
165001,1,1,"2","1","1"
166001,0,1,"2","2","4"
166001,1,1,"1","2","1"
167001,1,1,"2","2","4"
167001,0,1,"1","2","1"
168001,1,1,"2","1","3"
168001,0,1,"1","1","4"
169001,1,1,"1","1","4"
169001,0,1,"1","1","1"
170001,1,1,"2","2","4"
170001,0,1,"1","2","1"
171001,0,1,"1","2","4"
171001,1,1,"2","1","4"
172001,0,1,"1","1","4"
172001,1,1,"1","1","1"
173001,0,1,"2","2","2"
173001,1,1,"2","1","1"
174001,0,1,"1","2","4"
174001,1,1,"2","1","4"
175001,0,1,"1","1","3"
175001,1,1,"2","1","2"
176001,0,1,"1","1","2"
176001,1,1,"2","1","3"
177001,0,1,"2","1","2"
177001,1,1,"2","2","3"
178001,1,1,"2","1","4"
178001,0,1,"1","2","4"
179001,1,1,"2","2","3"
179001,0,1,"1","2","3"
180001,1,1,"1","2","1"
180001,0,1,"1","2","2"
181001,0,1,"1","1","4"
181001,1,1,"1","1","1"
182001,0,1,"1","2","4"
182001,1,1,"2","1","4"
183001,0,1,"1","1","2"
183001,1,1,"2","1","3"
184001,1,1,"2","1","3"
184001,0,1,"1","1","4"
185001,0,1,"1","1","1"
185001,1,1,"2","2","4"
186001,0,1,"1","2","4"
186001,1,1,"2","1","4"
187001,0,1,"1","2","3"
187001,1,1,"2","2","1"
188001,1,1,"2","1","4"
188001,0,1,"1","2","4"
189001,0,1,"2","1","2"
189001,1,1,"2","2","3"
190001,0,1,"2","2","2"
190001,1,1,"2","1","1"
191001,1,1,"1","2","1"
191001,0,1,"1","2","2"
192001,1,1,"2","1","2"
192001,0,1,"2","2","3"
193001,0,1,"2","1","2"
193001,1,1,"2","2","3"
194001,1,1,"2","1","4"
194001,0,1,"1","2","4"
195001,1,1,"2","1","4"
195001,0,1,"1","2","4"
196001,1,1,"1","2","1"
196001,0,1,"1","2","2"
197001,1,1,"2","2","3"
197001,0,1,"1","2","3"
198001,1,1,"2","2","3"
198001,0,1,"1","2","3"
199001,0,1,"1","2","1"
199001,1,1,"1","2","2"
200001,0,1,"1","1","4"
200001,1,1,"1","1","1"
201001,0,1,"1","1","4"
201001,1,1,"1","1","1"
202001,1,1,"2","2","4"
202001,0,1,"1","2","1"
203001,1,1,"2","2","4"
203001,0,1,"1","2","1"
204001,0,1,"1","2","4"
204001,1,1,"2","1","4"
205001,0,1,"2","2","2"
205001,1,1,"2","1","1"
1002,1,0,NA,NA,NA
4002,0,0,NA,NA,NA
5002,0,0,NA,NA,NA
7002,0,0,NA,NA,NA
8002,1,0,NA,NA,NA
11002,1,0,NA,NA,NA
15002,0,0,NA,NA,NA
17002,0,0,NA,NA,NA
18002,0,0,NA,NA,NA
20002,1,0,NA,NA,NA
22002,1,0,NA,NA,NA
24002,1,0,NA,NA,NA
25002,1,0,NA,NA,NA
27002,0,0,NA,NA,NA
30002,0,0,NA,NA,NA
34002,0,0,NA,NA,NA
35002,0,0,NA,NA,NA
38002,0,0,NA,NA,NA
39002,0,0,NA,NA,NA
41002,0,0,NA,NA,NA
42002,0,0,NA,NA,NA
46002,1,0,NA,NA,NA
47002,1,0,NA,NA,NA
48002,0,0,NA,NA,NA
49002,0,0,NA,NA,NA
50002,1,0,NA,NA,NA
51002,0,0,NA,NA,NA
54002,0,0,NA,NA,NA
56002,1,0,NA,NA,NA
61002,1,0,NA,NA,NA
63002,0,0,NA,NA,NA
65002,0,0,NA,NA,NA
66002,0,0,NA,NA,NA
71002,0,0,NA,NA,NA
73002,1,0,NA,NA,NA
76002,0,0,NA,NA,NA
78002,0,0,NA,NA,NA
80002,0,0,NA,NA,NA
83002,0,0,NA,NA,NA
85002,0,0,NA,NA,NA
