"","sos","info","own","fishtech","rank_one","education","wtp_predict","wtp_predict_int"
"1",0,0,"1",0,"corruption","formal",2.49093300238111,4.45726776804709
"2",0,0,"1",0,"corruption","higher",3.82474789649454,5.35130713858733
"3",0,0,"1",0,"corruption","no_formal",0.46258361805227,2.2342641410996
"4",0,0,"1",0,"iuu","formal",1.44762118806031,3.18579649169991
"5",0,0,"1",0,"iuu","higher",2.62403359572002,4.07983586224015
"6",0,0,"1",0,"iuu","no_formal",-0.341364220128155,0.962792864752422
"7",0,0,"1",0,"pollution","formal",0.99208042602775,2.69132092978646
"8",0,0,"1",0,"pollution","higher",2.09976625775807,3.58536030032671
"9",0,0,"1",0,"pollution","no_formal",-0.692391598340637,0.468317302838976
"10",0,0,"1",0,"weather","formal",0.373295677617815,1.7609014706023
"11",0,0,"1",0,"weather","higher",1.38762662096055,2.65494084114254
"12",0,0,"1",0,"weather","no_formal",-1.16921037289563,-0.462102156345189
"13",0,0,"1",1,"corruption","formal",4.12416515433984,5.62420154640928
"14",0,0,"1",1,"corruption","higher",5.70438270405996,6.51824091694952
"15",0,0,"1",1,"corruption","no_formal",1.72110809730278,3.40119791946179
"16",0,0,"1",1,"iuu","formal",2.88811684951422,4.3527302700621
"17",0,0,"1",1,"iuu","higher",4.28185412182742,5.24676964060235
"18",0,0,"1",1,"iuu","no_formal",0.768642737559827,2.12972664311462
"19",0,0,"1",1,"pollution","formal",2.34842164146573,3.85825470814866
"20",0,0,"1",1,"pollution","higher",3.66073611523687,4.7522940786889
"21",0,0,"1",1,"pollution","no_formal",0.352768221589375,1.63525108120117
"22",0,0,"1",1,"weather","formal",1.61532552501663,2.92783524896449
"23",0,0,"1",1,"weather","higher",2.81703916981721,3.82187461950473
"24",0,0,"1",1,"weather","no_formal",-0.212135798386096,0.704831622017004
"25",0,0,"2",0,"corruption","formal",2.37969942797896,4.65619435973626
"26",0,0,"2",0,"corruption","higher",3.69673272243282,5.5502337302765
"27",0,0,"2",0,"corruption","no_formal",0.376870037082321,2.43319073278877
"28",0,0,"2",0,"iuu","formal",1.34951420361101,3.38472308338908
"29",0,0,"2",0,"iuu","higher",2.51112539548956,4.27876245392932
"30",0,0,"2",0,"iuu","no_formal",-0.416962806261066,1.16171945644159
